state,hospitals,penalized,psi03_worse,median_psi03
CA,273,75.0,8.0,0.39
NY,125,44.0,21.0,0.65
PA,125,35.0,7.0,0.54
IL,114,31.0,6.0,0.43
OH,117,31.0,7.0,0.49
MI,86,29.0,2.0,0.53
AL,72,28.0,3.0,0.55
GA,93,27.0,6.0,0.56
TX,250,25.0,4.0,0.5
LA,77,25.0,4.0,0.57
KY,59,21.0,2.0,0.53
MA,52,20.0,5.0,0.54
NC,79,19.0,4.0,0.51
MS,53,18.0,3.0,0.56
FL,163,17.0,5.0,0.4
IA,30,16.0,5.0,0.64
WI,64,16.0,5.0,0.56
TN,76,15.0,3.0,0.53
AR,40,14.0,3.0,0.49
OK,71,14.0,1.0,0.55
OR,32,13.0,2.0,0.48
WA,45,12.0,3.0,0.55
WV,23,12.0,4.0,0.56
SC,51,12.0,3.0,0.44
AZ,60,10.0,3.0,0.55
IN,81,10.0,0.0,0.49
KS,44,10.0,0.0,0.53
MN,44,10.0,1.0,0.5
NM,25,10.0,4.0,0.52
MO,62,9.0,3.0,0.49
CO,50,7.0,3.0,0.52
HI,11,7.0,2.0,0.79
NE,24,6.0,1.0,0.48
NH,13,5.0,1.0,0.5
NJ,61,5.0,4.0,0.48
VA,70,5.0,3.0,0.38
AK,8,4.0,2.0,0.68
ME,13,4.0,0.0,0.53
VT,6,4.0,2.0,1.15
MT,11,4.0,1.0,0.61
WY,8,4.0,0.0,0.61
CT,25,3.0,0.0,0.48
NV,20,3.0,0.0,0.35
SD,16,3.0,1.0,0.57
ID,14,2.0,1.0,0.44
RI,10,2.0,0.0,0.38
UT,31,1.0,0.0,0.51
DC,6,1.0,2.0,0.66
ND,7,1.0,0.0,0.67
MD,42,0.0,8.0,0.68
DE,6,0.0,1.0,0.75
