ccn,name,city,state,psi03,psi08,psi90,hac_score
040020,ST BERNARDS MEDICAL CENTER,JONESBORO,AR,8.19,0.38,3.16,0.453
330090,ARNOT OGDEN MEDICAL CENTER,ELMIRA,NY,4.92,0.33,2.28,0.87
250058,SOUTH CENTRAL REG MED CTR,LAUREL,MS,4.79,0.29,2.19,0.756
110043,ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,4.77,0.37,2.17,0.542
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,JACKSON,MS,4.54,0.26,2.43,1.053
330094,COLUMBIA MEMORIAL HOSPITAL,HUDSON,NY,4.5,0.34,2.17,1.633
510001,"WEST VIRGINIA UNIVERSITY HOSPITALS, INC",MORGANTOWN,WV,4.38,0.36,2.06,0.687
040119,WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,4.03,0.31,2.03,0.675
330250,THE UNIVERSITY OF VERMONT HEALTH NETWORK  - CHAMPL,PLATTSBURGH,NY,4.02,0.27,2.02,1.066
330219,ERIE COUNTY MEDICAL CENTER,BUFFALO,NY,3.69,0.27,2.09,0.542
500088,VALLEY MEDICAL CENTER,RENTON,WA,3.51,0.32,1.69,0.874
110011,TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,3.34,0.28,1.92,0.939
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,3.24,0.22,1.98,1.085
440048,BAPTIST MEMORIAL HOSPITAL,MEMPHIS,TN,2.95,0.43,2.01,0.566
470001,CENTRAL VERMONT MEDICAL CENTER,BARRE,VT,2.82,0.41,1.74,1.322
450015,PARKLAND HEALTH & HOSPITAL SYSTEM,DALLAS,TX,2.72,0.31,1.58,0.789
360180,CLEVELAND CLINIC,CLEVELAND,OH,2.7,0.28,1.51,0.57
330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",BINGHAMTON,NY,2.61,0.24,1.5,1.293
510029,THOMAS MEMORIAL HOSPITAL,SOUTH CHARLESTON,WV,2.55,0.32,1.68,1.112
220077,BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,2.55,0.33,1.69,0.68
330078,SISTERS OF CHARITY HOSPITAL,BUFFALO,NY,2.52,0.25,1.71,0.427
110024,CANDLER HOSPITAL,SAVANNAH,GA,2.5,0.24,1.55,0.898
520037,MARSHFIELD MEDICAL CENTER,MARSHFIELD,WI,2.49,0.34,1.79,0.737
160016,TRINITY REGIONAL MEDICAL CENTER,FORT DODGE,IA,2.48,0.25,1.45,0.868
180104,BAPTIST HEALTH PADUCAH,PADUCAH,KY,2.4,0.29,1.36,0.576
510022,CHARLESTON AREA MEDICAL CENTER,CHARLESTON,WV,2.39,0.21,1.92,1.119
190183,LEONARD J CHABERT MEDICAL CENTER,HOUMA,LA,2.37,0.27,1.56,0.476
160057,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,WEST BURLINGTON,IA,2.31,0.28,1.53,1.049
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,2.31,0.24,1.67,0.853
330125,ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,2.27,0.39,1.75,0.793
330005,KALEIDA HEALTH,BUFFALO,NY,2.26,0.35,1.44,0.655
220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,2.25,0.48,1.59,1.272
310011,CAPE REGIONAL MEDICAL CENTER INC,CAPE MAY COURT HOUSE,NJ,2.23,0.32,1.47,0.45
230130,BEAUMONT HOSPITAL ROYAL OAK,ROYAL OAK,MI,2.22,0.23,1.64,0.542
520049,BELLIN MEMORIAL HOSPITAL,GREEN BAY,WI,2.21,0.24,1.3,0.504
330233,BROOKDALE HOSPITAL MEDICAL CENTER,BROOKLYN,NY,2.19,0.27,1.51,0.426
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,SANTA FE,NM,2.17,0.26,1.37,0.472
230024,SINAI-GRACE HOSPITAL,DETROIT,MI,2.17,0.23,1.5,0.772
380091,KAISER SUNNYSIDE MEDICAL CENTER,CLACKAMAS,OR,2.16,0.25,1.36,0.418
010112,WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,2.15,0.27,1.45,1.028
090003,HOWARD UNIVERSITY HOSPITAL CORP,WASHINGTON,DC,2.12,0.29,1.62,0.599
100157,LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,FL,2.08,0.42,1.55,0.847
330014,JAMAICA HOSPITAL MEDICAL CENTER,JAMAICA,NY,2.06,0.24,1.48,0.471
360020,SUMMA HEALTH SYSTEM,AKRON,OH,2.06,0.26,1.32,0.567
320001,UNM HOSPITAL,ALBUQUERQUE,NM,2.05,0.29,1.51,1.006
330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,SARANAC LAKE,NY,2.03,0.25,1.28,0.935
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,BROOKLYN,NY,2.02,0.3,1.4,0.827
050350,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,MONTEBELLO,CA,2.01,0.26,1.48,0.495
140062,PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL,1.95,0.35,1.28,0.627
300034,CATHOLIC MEDICAL CENTER,MANCHESTER,NH,1.94,0.25,1.39,0.801
140166,ST MARYS HOSPITAL,DECATUR,IL,1.92,0.25,1.67,0.483
420004,MUSC MEDICAL CENTER,CHARLESTON,SC,1.91,0.24,1.48,0.838
160033,GENESIS MEDICAL CENTER-DAVENPORT,DAVENPORT,IA,1.9,0.36,1.43,1.021
040055,BAPTIST HEALTH - FORT SMITH,FORT SMITH,AR,1.89,0.25,1.3,0.65
360072,FAIRFIELD MEDICAL CENTER,LANCASTER,OH,1.89,0.24,1.58,0.456
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,1.88,0.28,1.58,0.632
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,TOLEDO,OH,1.88,0.35,1.54,0.431
330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,SYRACUSE,NY,1.86,0.35,1.48,0.955
390164,UPMC PRESBYTERIAN SHADYSIDE,PITTSBURGH,PA,1.84,0.39,1.4,0.892
320021,PRESBYTERIAN HOSPITAL,ALBUQUERQUE,NM,1.83,0.33,1.47,0.868
470005,RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,VT,1.83,0.32,1.38,1.036
120001,THE QUEENS MEDICAL CENTER,HONOLULU,HI,1.79,0.28,1.34,0.868
270003,ST PETERS HEALTH,HELENA,MT,1.77,0.37,1.48,0.743
160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,IOWA CITY,IA,1.71,0.32,1.25,0.562
390123,POTTSTOWN HOSPITAL,POTTSTOWN,PA,1.7,0.28,1.36,0.699
310014,COOPER UNIVERSITY HOSPITAL,CAMDEN,NJ,1.66,0.26,1.4,1.245
110198,WELLSTAR NORTH FULTON MEDICAL CENTER,ROSWELL,GA,1.63,0.27,1.37,0.427
510007,ST MARYS MEDICAL CENTER,HUNTINGTON,WV,1.61,0.32,1.28,0.745
140007,SAINT JOSEPH MEDICAL CENTER,JOLIET,IL,1.6,0.29,1.37,1.438
190002,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,LAFAYETTE,LA,1.6,0.25,1.34,0.49
110006,ST MARY'S HOSPITAL,ATHENS,GA,1.58,0.23,1.47,1.301
450024,UNIVERSITY MEDICAL CENTER OF EL PASO,EL PASO,TX,1.58,0.33,1.31,0.537
420026,MUSC HEALTH COLUMBIA MEDICAL CENTER DOWNTOWN,COLUMBIA,SC,1.56,0.26,1.27,0.382
190040,SLIDELL MEMORIAL HOSPITAL,SLIDELL,LA,1.55,0.27,1.33,0.688
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,1.53,0.25,1.23,0.563
330136,BASSETT HEALTHCARE,COOPERSTOWN,NY,1.53,0.3,1.27,0.59
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,FAR ROCKAWAY,NY,1.53,0.28,1.26,1.457
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,PHILADELPHIA,PA,1.5,0.15,1.46,0.646
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,CEDAR RAPIDS,IA,1.49,0.26,1.24,0.709
520189,AURORA MEDICAL CENTER KENOSHA,KENOSHA,WI,1.49,0.28,1.2,0.651
340047,NORTH CAROLINA BAPTIST HOSPITAL,WINSTON-SALEM,NC,1.45,0.33,1.08,0.611
050624,HENRY MAYO NEWHALL  HOSPITAL,VALENCIA,CA,1.42,0.31,1.22,0.797
050100,SHARP MEMORIAL HOSPITAL,SAN DIEGO,CA,1.41,0.29,1.19,0.415
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,WALNUT CREEK,CA,1.4,0.22,1.14,0.557
340114,REX HOSPITAL,RALEIGH,NC,1.39,0.28,1.19,0.591
370037,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OKLAHOMA CITY,OK,1.37,0.25,1.27,0.782
330394,"UNITED HEALTH SERVICES HOSPITALS, INC",BINGHAMTON,NY,1.36,0.25,1.58,0.853
360017,GRANT MEDICAL CENTER,COLUMBUS,OH,1.33,0.25,1.13,0.787
100173,ADVENTHEALTH TAMPA,TAMPA,FL,1.32,0.2,1.2,0.406
030006,TUCSON MEDICAL CENTER,TUCSON,AZ,1.27,0.34,1.3,0.556
050351,TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,CA,1.21,0.21,1.36,0.474
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,NASHVILLE,TN,1.2,0.21,1.13,0.504
140148,MEMORIAL MEDICAL CENTER,SPRINGFIELD,IL,1.18,0.25,1.48,0.722
330234,WESTCHESTER MEDICAL CENTER,VALHALLA,NY,1.18,0.25,1.22,0.414
330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,0.95,0.21,1.23,0.703
